,count,mean,std,min,25%,50%,75%,max,median,skewness
followers_count,2465.0,1140063.7436105476,6821142.598559317,0.0,1239.0,93928.0,231537.0,106938028.0,93928.0,10.408537443122137
friends_count,2465.0,20388.124137931034,95790.00446204854,0.0,319.0,863.0,2531.0,2141379.0,863.0,10.829178990225463
statuses_count,2465.0,85125.56227180528,159970.8286243262,1.0,15424.0,38528.0,89591.0,2766520.0,38528.0,6.709247215644786
favourites_count,2465.0,14104.211359026369,39249.38406414974,0.0,226.0,2636.0,12323.0,886115.0,2636.0,9.388934346422959
listed_count,2465.0,2927.7683569979718,18038.40659778871,0.0,16.0,179.0,1261.0,606500.0,179.0,19.236060155179516
followers_friends_ratio,2465.0,68925.28783167746,1840985.5724403604,0.016845329249617153,1.3538295577130528,12.920634920634921,635.0523097826087,83409356.0,12.920634920634921,39.95826775695385
favourites_statuses_ratio,2465.0,0.907692346979121,8.908615847742972,3.61464814472762e-07,0.007295066231522365,0.091043729051368,0.43567465884453516,292.8888888888889,0.091043729051368,25.725706440769493
statuses_followers_ratio,2465.0,54.022035865178374,1125.1814213961993,1.2468625222331173e-06,0.08794965326678787,0.627213473415529,18.839123867069485,55521.0,0.627213473415529,48.67646552685837
description_length,2465.0,84.63732251521299,51.736578998466086,0.0,39.0,87.0,133.0,181.0,87.0,-0.11224430120725479
username_length,2465.0,10.676267748478702,2.8099762604203256,2.0,9.0,11.0,13.0,15.0,11.0,-0.3287303978890543
username_digit_count,2465.0,0.49330628803245435,1.1945730153585892,0.0,0.0,0.0,0.0,13.0,0.0,3.39978563842033
username_digit_ratio,2465.0,0.05463425125696931,0.13495930427853156,0.0,0.0,0.0,0.0,1.0,0.0,3.1918022709376284
fullname_length,2465.0,11.694523326572009,5.430828907611207,1.0,8.0,12.0,15.0,43.0,12.0,0.4840900054920965
fullname_word_count,2465.0,1.9058823529411764,0.917489849611719,1.0,1.0,2.0,2.0,8.0,2.0,1.392441761655175
