Word,Coefficient,Associated_Class
news,2.3767294877616485,Bot
bot,2.1775001996130445,Bot
things,1.338235170987992,Bot
rt,1.3238157253415148,Bot
alarabiya,1.1546824904388733,Bot
cuenta,1.0543026020735144,Bot
es,1.0309589138042652,Bot
sports,0.9721896315729863,Bot
twitter account,0.9545224211418079,Bot
90,0.9415290762032895,Bot
home,-0.9745173805847163,Human
journalist,-1.0053004167488315,Human
producer,-1.0442678806390806,Human
ceo,-1.124291596941775,Human
20,-1.130327053618048,Human
host,-1.1313474399786612,Human
19,-1.3134427233480697,Human
instagram,-1.3403831607659686,Human
ig,-1.4347116619203795,Human
snap,-1.838103235724204,Human
