id,name,screen_name,location,description,followers_count,friends_count,listed_count,favourites_count,verified,statuses_count,protected,default_profile,default_profile_image,user_id,target,raw_label
613512037,Baseball Quotes,BaseballQuotes1,The Diamond,Quoting America's Pastime in 280 characters or less.,121500,346,532,35894,False,21246,False,False,False,613512037,0,human
19263978,Cleveland Cavaliers,cavs,"The Q | Cleveland, OH",Official Twitter of the 2016 NBA Champion Cleveland Cavaliers. @NBAGLeague Affiliate @CantonCharge. #BeTheFight,3227215,1946,9039,16134,True,45791,False,False,False,19263978,0,human
1624329463,‏المهاجر 1M,muohajer_12,المملكة العربية السعودية,,864968,767106,1371,23,False,875763,False,True,False,1624329463,1,bot
550610050,BC.20,Bc20_,,R.I.P JRL21//R.I.P Monica💙 IG//b.20c #GLOHIOBOYS,951,275,9,22147,False,88862,False,False,False,550610050,0,human
149714640,mia 🧜🏾‍♀️🖤💋,_Blkahontas,"Hollywood, FL",to die for 🔮🤞🏾👸🏾,1412,623,12,5582,False,142073,False,False,False,149714640,0,human
76943986,Optimus Prime,crmnvctr,,The only way home is winning.,1615,182,27,34629,False,85419,False,False,False,76943986,0,human
728040086848319489,.,997JK,,,155,0,2,57,False,4098,False,False,True,728040086848319489,0,human
131279295,Alan Hoglund,alanhoglund,"Minneapolis, MN","📺 @KSTP Producer, Emmy Winner, Husband, Dad x2, Singer, Black Coffee Addict - Saved by Grace 📨 ahoglund@kstp.com",1231,1089,68,2017,False,22256,False,False,False,131279295,0,human
294150384,Infomedia 🇦🇷,Infomedia24hrs,Buenos Aires - Argentina,Noticias las 24hrs con Opinión #Independiente - #Ratings 📺 - #Revistas #Diarios ⚽️ en PDF  - #News 🌎  24/7 -,378218,347,646,120,False,110251,False,False,False,294150384,1,bot
2669946973,"안녕,봄",hi_springjk,with 정국💜,"너는 나에게 봄이었고, 미소였고, 햇살이었고, 설레는 봄바람이었어 #방탄소년단 #BTS #정국 #jungkook •weibo ➡️ https://t.co/T2rIao3iIg •instagram ➡️ hi_springjk •공지는 마음통",820881,5,8578,924,False,13559,False,True,False,2669946973,1,bot
3019325733,Kip Dynamite,JoeHeadTV,,Full time singer/song writer & sensitive Proud owner of a 50” TV and a working fridge,23454,284,13,4332,False,3106,False,True,False,3019325733,0,human
1038692990,It’s pronounced like Ann-knee,annemuyfresca,TEXA$,A1 SINCE DAY 1 | 4.30.16,808,513,5,12325,False,100989,False,False,False,1038692990,0,human
558652897,ダイエットの名言,_diet_meigen_,,ダイエットの成功を目指す、あなたモチベーションを上げるためのアカウントです。一時間に一回、ダイエットのやる気を出させてくれる名言の数々をつぶやいていきます。 LINEでダイエットサポートのアカウント「ダイエットトレーナー」も展開しているので、登録してみてください。 #LINEでダイエット,136685,0,613,1763,False,35406,False,False,False,558652897,1,bot
14448642,Dinamalar,dinamalarweb,"39, Whites road, Chennai","https://t.co/Jax7cEBSuN is the No.1, Tamil News website in the world. It offers various news like Political,General,Cinema, Sports,Temple news in Tamil language",325236,311,654,14,True,522604,False,False,False,14448642,1,bot
3073042992,副業で稼ぐ＠相互フォロー,happy_osu,,"大学生の時にネットで稼ぎはじめ，そのままOLとなりました！社会人になって時間がなくなりつつも変わらず稼いでいます。18歳以上の女性であればどなたでもできる安全で簡単な仕事ですので気になる方はDM下さい♪
https://t.co/5LGNMiIzhW",3755,4996,1,0,False,24831,False,True,False,3073042992,1,bot
278561826,عبدالرحمن البدر,albader900,Riyadh,ممثل وكاتب | https://t.co/CdXThrLQVH,99787,248,124,266,False,874,False,True,False,278561826,1,bot
61484151,Kingsley,kingsleyyy,,I played the role of Brandy in “The Boy Is Mine” in my upstairs hallway in 1999.,790829,320,4406,25209,True,298,False,False,False,61484151,0,human
553785251,العربية مصر,AlArabiya_EGY,Dubai,حساب #العربية الخاص بالأخبار في #مصر,1154173,37,1559,1,True,37704,False,False,False,553785251,1,bot
14897840,ABC 7 News - WJLA,ABC7News,"Washington, DC","Breaking news, weather, sports and information for the Washington, D.C. area from the ABC 7 Newsroom.",151634,901,2824,4685,True,279822,False,False,False,14897840,1,bot
943073006,صحيفة أوان الكويتية,awan_kuwait,الكويت,أوان دائماً معك حيث تكون وفي كل لحظة.,99661,67618,90,22,False,30789,False,False,False,943073006,1,bot
16667262,Jillian Michaels,JillianMichaels,"Los Angeles, CA",Leading fitness expert & world renowned life coach. Checkout my #JillianMichaelsApp for personalized workouts and meal plans,1749279,119,10702,6789,True,18357,False,False,False,16667262,0,human
135938060,Annie García Hdez,aninisis,Guadalajara,"Quiero saber todo lo que se pueda saber; me hago responsable de lo que digo, no de lo que entiendas. Casada con @mariocobos",1033,1814,31,2111,False,22692,False,False,False,135938060,0,human
168789642,marci nelson,1jedi2,"Lacey, WA","*Illusion of Democracy*
*Silence IS Complicity.*
*#25thAmendmentNOW!*
*They got money for Wars, but Can't Feed The Poor!- TuPac.*
*Coup d'état*",1557,4281,64,6601,False,95717,False,False,False,168789642,1,bot
766852874,Anne Nishadi,Annenishadi,USA,"Hi, I am Anne Nishadi",29294,7010,101,840,False,37567,False,False,False,766852874,1,bot
558572709,AS Monaco 🇲🇨,AS_Monaco,Monaco,Twitter officiel de l’AS Monaco ! 🇬🇧@as_monaco_en 🇧🇷@as_monaco_br 🇪🇸@as_monaco_es 🎮@ASMonacoEsports,2063542,346,2427,2365,True,53732,False,False,False,558572709,0,human
227296786,مجموعة الطيار للسفر,altayyaronline,Saudi Arabia,"الحساب الرسمي لمجموعة الطيار للسفر والسياحة المساهمة المدرجة في السوق السعودي. 

خدمة العملاء: 920012333",249730,56,418,87,True,35944,False,False,False,227296786,1,bot
147233107,おなかちゃん／kenken76,as_kenken76,神奈川県川崎市中原区,ハロヲタ兼鉄ヲタ。一応、現場系。Juice=JuiceやBitter&Sweetの現場に主に出現しますが、ずっと「team℃-ute」です。長文投稿が多く、時には連投することもあります。うるさい場合は適宜処理なさってください。表示名が変わった件については気にしないでください。,1122,646,39,7671,False,71620,False,True,False,147233107,0,human
399830372,Jose Rebolledo,1JOSE_JOSE_JOSE,Hey there!,|Eastern Kentucky University| |BBN| |ΠΚΑ|,862,503,4,24455,False,5990,False,False,False,399830372,0,human
22885574,Leo Jaime,LeoJaime,Rio de Janeiro,metamorfose ambulante from mars. https://t.co/jAeuneV9eG,935068,1185,3063,23884,True,81189,False,False,False,22885574,0,human
330432644,Mercedes Lambre 🎀,Mechilambre,Argentina,Actriz Argentina🇦🇷Mi frase favorita en el mundo: Todo lo puedo en Cristo que me fortalece 💘 💪🏻 Filipenses 4:13 Redes:  Manager: Jorge Galli,1073392,535,1603,7074,True,5523,False,False,False,330432644,0,human
