id,name,screen_name,location,description,followers_count,friends_count,listed_count,favourites_count,verified,statuses_count,protected,default_profile,default_profile_image,user_id,target,raw_label,followers_friends_ratio,favourites_statuses_ratio,statuses_followers_ratio,description_length,username_length,username_digit_count,username_digit_ratio,fullname_length,fullname_word_count,name_equals_username,followers_count_transformed,friends_count_transformed,favourites_count_transformed,clean_desc,clean_name,clean_screen_name,combined_text
613512037,Baseball Quotes,BaseballQuotes1,The Diamond,Quoting America's Pastime in 280 characters or less.,121500,346,532,35894,0,21246,0,0,0,613512037,0,human,350.1469740634006,1.6894149762319386,0.17487098871614226,52,15,1,0.06666666666666667,15,2,0,5.084579852359802,2.5403294747908736,4.555033957669119,quoting america s pastime in 280 characters or less,baseball quotes,baseballquotes1,quoting america s pastime in 280 characters or less baseball quotes baseballquotes1
19263978,Cleveland Cavaliers,cavs,"The Q | Cleveland, OH",Official Twitter of the 2016 NBA Champion Cleveland Cavaliers. @NBAGLeague Affiliate @CantonCharge. #BeTheFight,3227215,1946,9039,16134,1,45791,0,0,0,19263978,0,human,1657.532614278377,0.35235412299091545,0.014189319834804984,111,4,0,0.0,19,2,0,6.508828034033813,3.2893659515200318,4.207768969739924,official twitter of the 2016 nba champion cleveland cavaliers nbagleague affiliate cantoncharge bethefight,cleveland cavaliers,cavs,official twitter of the 2016 nba champion cleveland cavaliers nbagleague affiliate cantoncharge bethefight cleveland cavaliers cavs
1624329463,‏المهاجر 1M,muohajer_12,المملكة العربية السعودية,,864968,767106,1371,23,0,875763,0,1,0,1624329463,1,bot,1.1275728157871066,2.7404643260056363e-05,1.0124802160539859,0,11,2,0.18181818181818182,11,2,0,5.937000542874998,5.884855945785371,1.380211241711606,,1m,muohajer 12,1m muohajer 12
550610050,BC.20,Bc20_,,R.I.P JRL21//R.I.P Monica💙 IG//b.20c #GLOHIOBOYS,951,275,9,22147,0,88862,0,0,0,550610050,0,human,3.449275362318841,0.24923759044821805,93.34348739495799,48,5,2,0.4,5,1,0,2.9786369483844743,2.4409090820652177,4.345334514839895,r i p jrl21 r i p monica ig b 20c glohioboys,bc 20,bc20,r i p jrl21 r i p monica ig b 20c glohioboys bc 20 bc20
149714640,mia 🧜🏾‍♀️🖤💋,_Blkahontas,"Hollywood, FL",to die for 🔮🤞🏾👸🏾,1412,623,12,5582,0,142073,0,0,0,149714640,0,human,2.264423076923077,0.03929642299083576,100.54777070063695,16,11,0,0.0,11,2,0,3.1501421618485588,2.795184589682424,3.7468676278504294,to die for,mia,blkahontas,to die for mia blkahontas
76943986,Optimus Prime,crmnvctr,,The only way home is winning.,1615,182,27,34629,0,85419,0,0,0,76943986,0,human,8.830601092896174,0.40540856942168113,52.85891089108911,29,8,0,0.0,13,2,0,3.208441356438567,2.2624510897304293,4.5394524915494605,the only way home is winning,optimus prime,crmnvctr,the only way home is winning optimus prime crmnvctr
728040086848319489,.,997JK,,,155,0,2,57,0,4098,0,0,1,728040086848319489,0,human,156.0,0.014149792632349353,26.275641025641026,0,5,3,0.6,1,1,0,2.1931245983544616,0.0,1.7634279935629373,,,997jk,997jk
131279295,Alan Hoglund,alanhoglund,"Minneapolis, MN","📺 @KSTP Producer, Emmy Winner, Husband, Dad x2, Singer, Black Coffee Addict - Saved by Grace 📨 ahoglund@kstp.com",1231,1089,68,2017,0,22256,0,0,0,131279295,0,human,1.1302752293577982,0.09066810441658804,18.065746753246753,112,11,0,0.0,12,2,0,3.090610707828407,3.037426497940624,3.3049211619008916,kstp producer emmy winner husband dad x2 singer black coffee addict saved by grace ahoglund kstp com,alan hoglund,alanhoglund,kstp producer emmy winner husband dad x2 singer black coffee addict saved by grace ahoglund kstp com alan hoglund alanhoglund
294150384,Infomedia 🇦🇷,Infomedia24hrs,Buenos Aires - Argentina,Noticias las 24hrs con Opinión #Independiente - #Ratings 📺 - #Revistas #Diarios ⚽️ en PDF  - #News 🌎  24/7 -,378218,347,646,120,0,110251,0,0,0,294150384,1,bot,1086.8362068965516,0.001097485759895512,0.29150307097210876,108,14,2,0.14285714285714285,12,2,0,5.577743342033853,2.5415792439465807,2.08278537031645,noticias las 24hrs con opini n independiente ratings revistas diarios en pdf news 24 7,infomedia,infomedia24hrs,noticias las 24hrs con opini n independiente ratings revistas diarios en pdf news 24 7 infomedia infomedia24hrs
2669946973,"안녕,봄",hi_springjk,with 정국💜,"너는 나에게 봄이었고, 미소였고, 햇살이었고, 설레는 봄바람이었어 #방탄소년단 #BTS #정국 #jungkook •weibo ➡️ https://t.co/T2rIao3iIg •instagram ➡️ hi_springjk •공지는 마음통",820881,5,8578,924,0,13559,0,1,0,2669946973,1,bot,136813.66666666666,0.06821533923303835,0.016518817564522063,131,11,0,0.0,4,1,0,5.914280732719937,0.7781512503836436,2.9661417327390325,bts jungkook weibo instagram hi springjk,,hi springjk,bts jungkook weibo instagram hi springjk  hi springjk
