Feature,Importance
statuses_count,0.24768893
favourites_statuses_ratio,0.14409888
statuses_followers_ratio,0.07262676
followers_friends_ratio,0.05728442
username_digit_count,0.05372075
username_digit_ratio,0.04881511
friends_count,0.04275168
name_equals_username,0.042413943
followers_count,0.038033582
listed_count,0.037500024
default_profile,0.036288194
username_length,0.03502837
verified,0.03309354
description_length,0.030417006
favourites_count,0.029596297
fullname_length,0.02697112
fullname_word_count,0.023671415
protected,0.0
default_profile_image,0.0
